Name,common name,Family,Division,Total TE content,Percent,Class,Reference
Nelumbo nucifera ,sacred lotus,Nelumbonacease,Angiosperm,48,31.5,Class II,"Ming et al., 2013"
Setaria italica ,foxtail millet,Poaceae ,Angiosperm,46.3,31.6,Class II,"Zhang et al., 2012"
Brachypodium distachyon ,grass,Poaceae ,Angiosperm,26,21.4,Class II,"Vogel et al., 2010"
Phyllostachys heterocycla ,bamboo,Poaceae ,Angiosperm,59,39,Class II,"Peng et al., 2013"
Eucalyptus grandis ,eucalyptus,Myrtaceae,Angiosperm,,44.5,Class II,"Myberg et al., 2014"
Thellungiella parvula ,wild mustard,Brassicaceae,Angiosperm,7.5,5.55,Class II,"Dassanayake et al., 2011"
Zostera marina ,sea grass,Zosteraceae,Angiosperm,63,59,Class II,"Olsen et al., 2016"
Spirodela polyrhiza,duckweed,Araceae,Angiosperm,,13.1,Class II,"Wang et al., 2014"
A.thaliana,wild mustard,Brassicaceae,Angiosperm,24,8.6,Class II,Maumus & Quesneville 2014
Phalaenopsis equestris ,orchid,Orchidaceae,Angiosperm,62,55,Class II,"Cai et al., 2015"
Solanum commersonii ,wild potato,Solanaceae,Angiosperm,44.5,34,Class II,"Aversano et al., 2015"
Oryza brachyantha ,wild rice,Poaceae ,Angiosperm,29.2,10,Class II,"Chen et al., 2013"
Amborella trichopoda,,Amborellaceae,Angiosperm,,5,Class II,"Wolf et al., 2015"
Physcomitrella patens ,moss,Funariaceae,Bryophyte,,51.3,Class II,"Rensing et al., 2008"
Gnetum gnemon,gnetum,Gnetaceae,Gymnosperm,,19,Class II,"Wolf et al., 2015"
Pinus taeda,pine,Pinaceae,Gymnosperm,,37,Class II,"Wolf et al., 2015"
Taxus baccata,yew,Taxaceae,Gymnosperm,,20,Class II,"Wolf et al., 2015"
Selaginella moellendorffii ,selaginella ,Selaginaceae,Lycophyte,37.5,35.6,Class II,"Banks et al., 2011"
Polypodium glycyrrhiza,licorice fern,Polypodiaceae,Monilophyte,,30,Class II,"Wolf et al., 2015"
Cystopteris protrusa,,Cystopteridaceae,Monilophyte,,28,Class II,"Wolf et al., 2015"
Ceratopteris richardii,,Pteridaceae,Monilophyte,,40,Class II,"Wolf et al., 2015"
Pteridium aquilinum,bracken fern,Dennstaedtiaceae,Monilophyte,,25,Class II,"Wolf et al., 2015"
Plagiogyria formosana,,Plagiogyriaceae,Monilophyte,,27,Class II,"Wolf et al., 2015"
Dipteris conjugata,,Dipteridaceae,Monilophyte,,26,Class II,"Wolf et al., 2015"
Nelumbo nucifera ,sacred lotus,Nelumbonacease,Angiosperm,48,16.2,Class I,"Ming et al., 2013"
Setaria italica ,foxtail millet,Poaceae ,Angiosperm,46.3,9.4,Class I,"Zhang et al., 2012"
Brachypodium distachyon ,grass,Poaceae ,Angiosperm,26,4.77,Class I,"Vogel et al., 2010"
Phyllostachys heterocycla ,bamboo,Poaceae ,Angiosperm,59,9.5,Class I,"Peng et al., 2013"
Eucalyptus grandis ,eucalyptus,Myrtaceae,Angiosperm,,5.6,Class I,"Myberg et al., 2014"
Thellungiella parvula ,wild mustard,Brassicaceae,Angiosperm,7.5,1.15,Class I,"Dassanayake et al., 2011"
Zostera marina ,sea grass,Zosteraceae,Angiosperm,63,6,Class I,"Olsen et al., 2016"
Spirodela polyrhiza,duckweed,Araceae,Angiosperm,,,Class I,"Wang et al., 2014"
A.thaliana,wild mustard,Brassicaceae,Angiosperm,24,12.1,Class I,Maumus & Quesneville 2014
Phalaenopsis equestris ,orchid,Orchidaceae,Angiosperm,62,4.63,Class I,"Cai et al., 2015"
Solanum commersonii ,wild potato,Solanaceae,Angiosperm,44.5,,Class I,"Aversano et al., 2015"
Oryza brachyantha ,wild rice,Poaceae ,Angiosperm,29.2,,Class I,"Chen et al., 2013"
Amborella trichopoda,,Amborellaceae,Angiosperm,,1,Class I,"Wolf et al., 2015"
Physcomitrella patens ,moss,Funariaceae,Bryophyte,,,Class I,"Rensing et al., 2008"
Gnetum gnemon,gnetum,Gnetaceae,Gymnosperm,,2,Class I,"Wolf et al., 2015"
Pinus taeda,pine,Pinaceae,Gymnosperm,,1,Class I,"Wolf et al., 2015"
Taxus baccata,yew,Taxaceae,Gymnosperm,,1.5,Class I,"Wolf et al., 2015"
Selaginella moellendorffii ,selaginella ,Selaginaceae,Lycophyte,37.5,1.76,Class I,"Banks et al., 2011"
Polypodium glycyrrhiza,licorice fern,Polypodiaceae,Monilophyte,,3,Class I,"Wolf et al., 2015"
Cystopteris protrusa,,Cystopteridaceae,Monilophyte,,5,Class I,"Wolf et al., 2015"
Ceratopteris richardii,,Pteridaceae,Monilophyte,,3.5,Class I,"Wolf et al., 2015"
Pteridium aquilinum,bracken fern,Dennstaedtiaceae,Monilophyte,,3.5,Class I,"Wolf et al., 2015"
Plagiogyria formosana,,Plagiogyriaceae,Monilophyte,,5,Class I,"Wolf et al., 2015"
Dipteris conjugata,,Dipteridaceae,Monilophyte,,4.5,Class I,"Wolf et al., 2015"
