Scientific name,Common name,Year,Type,Division or monocot/dicot,Chr (#),Size,Assembled,Assem,Gene (#),Repeat,scaffold N50,contig N50,Sequencer types,Journal,PMID
Arabidopsis thaliana,arabidopsis,2000,model,dicot,5,125,115,92,"25,498",14,NA,NA,Sa,Nature,
Oryza sativa,rice,2002,crop,monocot,12,430,362,84,"59,855",26,12,7,Sa,Science,
Oryza sativa,rice,2002,crop,monocot,12,420,389,93,"61,668",NA,NA,NA,Sa,Science,
Oryza sativa,rice,2005,crop,monocot,12,389,371,95,"37,544",26,NA,NA,Sa,Nature,
Populus trichocarpa,black cottonwood,2006,crop,dicot,19,485,410,84,"45,555",NA,3100,126,Sa,Science,
Vitis vinifera,grape,2007,crop,dicot,19,475,487,103,"30,434",41,2065,66,Sa,Nature,
Physcomitrella patens,moss,2008,model,bryophyta,27,510,480,94,"35,938",16,1320,292,Sa,Science,
Vitis vinifera,grape,2007,crop,dicot,19,505,477,95,"29,585",27,1330,18,"Sa,4",PlosOne,
Carica papaya,papaya,2008,crop,dicot,9,372,370,99,"28,629",43,1000,11,Sa,Nature,
Lotus japonicus,lotus,2008,model,dicot,6,472,315,67,"30,799",56,NA,NA,Sa,DNA Research,
Sorghum bicolor,sorghum,2009,crop,monocot,10,818,739,90,"34,496",62,"62,400",195,Sa,Nature,
Cucumis sativus,cucumber,2009,crop,dicot,7,367,244,66,"26,682",24,1140,20,"Sa,I",Nature Genetics,
Zea mayes,maize,2009,crop,monocot,10,2300,2048,89,"32,540",85,76,40,Sa,Science,
Glycine max,soybean,2010,crop,dicot,20,1115,973,87,"46,430",57,"47,800",189,Sa,Nature,
Brachypodium distachyon,brachypodium,2010,model,monocot,5,272,272,100,"25,532",21,"59,300",348,Sa,Nature,
Ricinus communis,castor bean,2010,crop,dicot,10,320,326,102,"31,237",50,561,21,Sa,Nature Biotechnology,
Malus x domestica,apple,2010,crop,dicot,17,742,604,81,"57,386",67,1542,13,"Sa,4",Nature Genetics,
Jatropha curcas,jatropha,2010,crop,dicot,NA,380,286,75,"40,929",37,NA,4,"Sa,",DNA Research,
Theobroma cacao,cocoa,2011,crop,dicot,10,430,327,76,"28,798",24,473,20,"Sa,4,I",Nature Genetics,
Fragaria vesca,strawberry,2011,crop,dicot,7,240,210,87,"34,809",23,1361,NA,"4,S,I",Nature Genetics,
Arabidopsis lyrata,lyrata,2011,model,dicot,8,207,207,100,"32,670",30,"24,500",227,Sa,Nature Genetics,
Selaginella moellendorffii,spikemoss,2011,non-model,lycopod,NA,110,213,193,"22,285",38,1700,120,Sa,Science,
Phoenix dactylifera,date palm,2011,crop,monocot,18,658,381,58,"28,890",40,30,6,I,Nature Biotechnology,
